,1709
POINT (12.56088552170739 55.678410711851015),57
POINT (12.560901868005226 55.67295259867942),23
POINT (12.56093529599797 55.676485471489656),69
POINT (12.560935978006656 55.67148489781695),43
POINT (12.560965227270103 55.69308907038481),28
POINT (12.560998211087144 55.67166085885174),6
POINT (12.561060821060094 55.69392903295797),4
POINT (12.561106313857128 55.70491999938301),2
POINT (12.561115259689895 55.677136971640735),55
POINT (12.56116982846243 55.678116190112746),147
POINT (12.561190577127354 55.67865511528065),106
POINT (12.561206445510543 55.69517302674355),33
POINT (12.561343423496837 55.67205500865674),71
POINT (12.561348403401713 55.675959905803275),162
POINT (12.561353205754758 55.70567944022944),2
POINT (12.56136099252388 55.69385032872132),25
POINT (12.561407405257658 55.6797040257257),112
POINT (12.561437467428584 55.69757830207745),1
POINT (12.561448223743914 55.67832041563166),92
POINT (12.561450443177401 55.681946544765935),23
POINT (12.561483865743432 55.69485711694852),27
POINT (12.561506605999616 55.68803846185171),21
POINT (12.561634887525992 55.66670405805963),1
POINT (12.561649428108563 55.69865555899049),5
POINT (12.561656041968568 55.67968515272316),124
POINT (12.561681199311714 55.67132609925189),75
POINT (12.561760987351398 55.672935373903584),144
POINT (12.56176955090722 55.69110804503486),33
POINT (12.561781016082623 55.67391042037744),61
POINT (12.561816446559058 55.70011385750302),1
POINT (12.561832108527913 55.67177766316207),58
POINT (12.561876163012935 55.68683912005368),49
POINT (12.561921543590792 55.673518017408135),31
POINT (12.561947376135665 55.70125340586821),1
POINT (12.562003667931407 55.67469644368167),67
POINT (12.562030262755545 55.69755737343577),1
POINT (12.562057803127711 55.67684041278786),132
POINT (12.562074075976 55.672015337269244),20
POINT (12.562098898039007 55.70346232268565),3
POINT (12.562155105276153 55.67236797163409),101
POINT (12.562172816524862 55.680656814309415),25
POINT (12.562241000635446 55.67116335806593),12
POINT (12.562291194287251 55.6818761077477),61
POINT (12.562312092048531 55.70446861967591),5
POINT (12.562425169227554 55.68904181181135),40
POINT (12.562429685574875 55.66343839920506),42
POINT (12.562469689557792 55.691719725746246),30
POINT (12.56252910653025 55.670841796478044),21
POINT (12.562582293698021 55.67021431575511),68
POINT (12.56263145674143 55.68127284293766),40
POINT (12.562685232304528 55.678581917311455),27
POINT (12.562707713916378 55.67165203304515),120
POINT (12.562731948907105 55.697150590550144),1
POINT (12.562874207159908 55.691715508601696),78
POINT (12.56288049287774 55.688590919230734),36
POINT (12.563020605177043 55.67666139192852),30
POINT (12.563089810090757 55.698836323698146),45
POINT (12.563127319981975 55.67163075606247),145
POINT (12.563202663356849 55.687959149910604),8
POINT (12.563240028910094 55.66380860090253),17
POINT (12.563268939388356 55.68970931363783),54
POINT (12.563283910372878 55.676560901265205),17
POINT (12.563307463703742 55.67302086064873),50
POINT (12.563415437218936 55.703259046413905),36
POINT (12.563490838704322 55.684119369832025),8
POINT (12.563493217386956 55.67069023484952),47
POINT (12.563508965001839 55.683088961568984),39
POINT (12.563513169204077 55.678267788082216),55
POINT (12.563630123116642 55.70192757076755),42
POINT (12.563665399695399 55.69111970364785),28
POINT (12.5636783421739 55.69236526794623),3
POINT (12.563731144687042 55.681483986650626),55
POINT (12.563771009209239 55.67660658537712),27
POINT (12.563804839256063 55.68226924640005),67
POINT (12.563881795508717 55.66467635921397),2
POINT (12.563896000484936 55.67795921403838),14
POINT (12.563913878999735 55.69927464229565),29
POINT (12.563941945607086 55.69228386791877),61
POINT (12.564024154541782 55.69637785542208),39
POINT (12.564080823816997 55.67017506175936),41
