FID,id,centroids
stednavn_flade.fid-7af2ebb0_1482643ff9f_-444f,31127,POINT (12.4808837261411 55.69614151989568)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-444e,30187,POINT (12.48183545670431 55.69046888152745)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-444d,163736,POINT (12.55316591609659 55.7048091009115)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-444c,162944,POINT (12.52356005625244 55.71483450459842)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-444b,28794,POINT (12.49123897986523 55.68588398978389)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-444a,32935,POINT (12.47385124851857 55.70362054362939)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4449,32119,POINT (12.47381189010395 55.69828106392057)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4448,35118,POINT (12.50605750824375 55.69627306231989)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4447,33478,POINT (12.49656011952785 55.6918934274875)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4446,34825,POINT (12.50910718062916 55.69242173969966)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4445,164651,POINT (12.58293377602843 55.68274686595139)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4444,39820,POINT (12.5753543790267 55.6807854616029)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4443,37835,POINT (12.55777475263286 55.69711031064272)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4442,164652,POINT (12.587207412245 55.69142012140609)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4441,37707,POINT (12.51280955935633 55.70199336289006)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4440,37519,POINT (12.50642299337587 55.69874160567701)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-443f,164313,POINT (12.60744308864558 55.64875796179405)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-443e,164326,POINT (12.57475391506994 55.70564997891002)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-443d,164331,POINT (12.49358365813479 55.70610238225736)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-443c,37930,POINT (12.55685488686307 55.6831219375437)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-443b,163766,POINT (12.57912015098469 55.68268228442626)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-443a,164320,POINT (12.48984247881526 55.72202630580424)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4439,164562,POINT (12.59708672350418 55.65707278721696)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4438,163679,POINT (12.55916132053004 55.68809985267783)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4437,36971,POINT (12.49827455639272 55.70160415168679)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4436,163681,POINT (12.53598011281975 55.70089536329616)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4435,163682,POINT (12.5842252827893 55.69299769844618)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4434,36412,POINT (12.49850333433468 55.70030560726276)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4433,163686,POINT (12.54511407800026 55.68931019901679)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4432,163674,POINT (12.60736934874917 55.6537586505187)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4431,37120,POINT (12.49805089495432 55.70337150998439)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4430,163680,POINT (12.55942282193338 55.68806598842509)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-442f,35209,POINT (12.51248482784833 55.69583865630715)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-442e,164189,POINT (12.56391119395648 55.68347899326233)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-442d,164560,POINT (12.59810012889452 55.65743429255113)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-442c,38518,POINT (12.57205302330067 55.67552781040735)
